date,australia,austria,belgium,canada,denmark,finland,france,germany,honkong,ireland,italy,japan,malaysia,netherlands,newzealand,norway,singapore,spain,sweden,switzerland,uk,usa
198802,0.01,0,0.25,0.07,0.04,0.02,0.21,0.16,0.02,-0.01,0.06,0.08,-0.05,0.04,-0.16,0.08,-0.02,0.01,0.04,0.06,0,0.04
198803,0.17,0.05,0.04,0.05,0.02,0.09,-0.06,0,0.06,0.09,0.04,0.08,0.06,0.04,0.22,0.13,0.06,0.09,0.07,-0.02,0.05,-0.03
198804,0.06,0.01,0.01,0.02,0,0.01,0.09,-0.02,0.02,0.01,-0.02,0.01,0.09,0.03,0.02,0.04,0.06,0,0.03,-0.01,0.03,0.01
198805,0.15,-0.05,-0.05,-0.04,0.09,0.06,0.07,-0.01,-0.03,0.11,-0.11,-0.05,0.03,-0.05,0.03,-0.05,0.02,0.01,0.03,-0.03,-0.03,0.01
198806,-0.03,-0.03,0.01,0.08,0,-0.01,0.01,0,0.08,0,0.04,-0.04,0.12,0.01,-0.03,0.01,0.09,0,-0.05,0.01,-0.03,0.05
198807,0.06,0.03,-0.05,-0.02,-0.01,-0.01,-0.03,0.01,0.02,-0.01,0.03,0.05,0,0.03,0.02,-0.01,0.02,-0.03,0.03,-0.02,0.01,0
198808,-0.03,0.01,0,-0.05,-0.05,-0.06,-0.03,-0.01,-0.08,-0.08,-0.03,-0.08,-0.11,-0.04,-0.07,-0.1,-0.09,-0.05,-0.06,-0.02,-0.07,-0.03
198809,-0.03,0.02,0.1,0.02,0.09,-0.04,0.1,0.07,0.01,0.01,0.07,0.04,0.02,0.02,-0.05,0.05,0,0,0.06,0.03,0.05,0.04
198810,0.07,0.12,0.09,0.03,0.14,0.09,0.11,0.11,0.08,0.07,0.12,0.08,0.03,0.07,0.04,0.07,0.04,0.08,0.09,0.11,0.08,0.03
198811,-0.02,0.02,0.03,0,0.05,0.08,0.02,-0.01,0.03,-0.07,0.02,0.09,0.01,0,-0.04,0.07,0,0.01,0.03,0.02,0.01,-0.02
198812,-0.01,-0.02,0.02,0.03,0.08,-0.04,0.04,0.03,0.02,0.01,0,0.01,0.02,0.03,-0.05,0.1,0.04,-0.02,0.05,0,-0.02,0.02
198901,0.09,-0.02,0,0.08,0,-0.02,0.01,-0.05,0.14,0.04,-0.03,0,0.08,0.02,0.05,0.13,0.1,0,0.05,-0.03,0.11,0.08
198902,-0.15,0.06,-0.02,-0.03,-0.02,0.03,-0.02,0,-0.01,0.06,-0.02,0.02,0,0,0,0.03,0,-0.03,0.03,0.02,-0.03,-0.03
198903,0.02,0.1,-0.01,0.01,0.01,0.05,0.01,-0.02,0,-0.03,0.01,-0.03,0.04,0.03,-0.01,0.07,0.04,0.01,0.03,-0.01,0.01,0.02
198904,0.02,0.08,0.03,0.03,0.07,0.05,0.04,0.05,0.05,0.07,0.01,0,0.1,0.05,0.04,0.08,0.06,0.05,0.01,0.03,0.01,0.05
198905,-0.02,-0.03,-0.04,0.01,-0.03,-0.06,-0.03,-0.03,-0.11,-0.07,-0.05,-0.06,-0.01,-0.05,-0.08,-0.05,0.02,-0.04,-0.01,-0.07,-0.07,0.04
198906,0.01,0.06,0.01,0.02,0.15,-0.03,0.02,0.08,-0.18,-0.04,0.1,-0.04,0,0.04,0.02,0.01,0.01,0.01,0.06,0.15,0.01,0
198907,0.09,0.07,0.05,0.08,0.09,0.04,0.11,0.1,0.13,0.16,0.11,0.13,0.05,0.09,0.05,0.04,0.06,0.05,0.12,0.13,0.15,0.09
198908,0.09,0.17,-0.02,0.02,-0.1,-0.08,-0.01,-0.01,-0.03,0.01,0.02,-0.07,-0.01,-0.01,0.28,0,-0.03,0.02,-0.01,0,-0.02,0.02
198909,0,0.14,0.09,-0.02,0.03,-0.06,0.06,0.04,0.12,0.04,-0.01,0.06,0.08,0.03,-0.05,0.02,0.02,0.05,-0.01,0,-0.01,0
198910,-0.04,-0.08,-0.04,0,0.06,-0.04,-0.05,-0.05,-0.01,-0.03,-0.08,-0.03,-0.04,-0.03,-0.08,-0.12,-0.04,-0.05,-0.07,-0.05,-0.09,-0.02
198911,-0.02,-0.02,0.07,0.01,0.08,-0.07,0.06,0.1,0.01,0.06,0.05,0.05,0.07,0.06,-0.01,0.08,0.05,0,-0.01,0.05,0.05,0.02
198912,0.05,0.25,0.05,0.02,0.07,0.1,0.12,0.2,0.02,0.1,0.08,0,0.1,0.1,-0.03,0.12,0.08,0.04,0.12,0.03,0.1,0.02
199001,-0.01,0.2,-0.04,-0.09,0.03,0.07,-0.05,0.03,-0.03,0.08,0,-0.06,0.01,-0.04,-0.04,0.1,0.03,-0.06,0,0,0.01,-0.06
199002,-0.07,0.2,-0.09,0,0,-0.03,-0.03,-0.02,0.08,-0.03,-0.05,-0.1,0.05,-0.03,-0.07,0.07,0.02,-0.03,-0.05,0,-0.03,0.01
199003,-0.02,0.02,0.09,0.01,0.05,-0.07,0.07,0.1,0.02,-0.01,0.04,-0.19,-0.04,0.05,-0.04,0.01,-0.03,-0.08,-0.04,-0.04,-0.03,0.02
199004,-0.07,-0.13,-0.01,-0.07,-0.06,-0.08,0.06,-0.07,-0.01,-0.06,0.03,0.01,-0.1,-0.03,-0.02,-0.06,-0.08,0.11,0.03,-0.01,-0.06,-0.02
199005,0.09,-0.02,0.03,0.07,0.06,0.01,0.02,0.01,0.08,0.06,0.06,0.14,0.15,0.04,0.11,0.1,0.12,0.05,0.13,0.17,0.15,0.09
199006,0.04,0.08,0.01,0,0.01,-0.02,-0.01,0.04,0.04,0.02,0.02,-0.05,-0.01,0.01,0,-0.03,0,0.08,0.06,0.02,0.06,0
199007,0.05,0.12,0.06,0.02,0.08,0.05,0.01,0.07,0.05,0,0.01,-0.01,0.09,0.05,0.06,0.12,0.06,0.04,0.05,0.02,0.04,0
199008,-0.01,-0.18,-0.09,-0.05,-0.07,-0.07,-0.13,-0.15,-0.11,-0.18,-0.14,-0.1,-0.13,-0.08,-0.05,-0.06,-0.15,-0.12,-0.13,-0.11,-0.05,-0.09
199009,-0.06,-0.23,-0.1,-0.04,-0.09,-0.19,-0.11,-0.18,-0.11,-0.07,-0.12,-0.16,-0.16,-0.05,-0.11,-0.09,-0.16,-0.18,-0.21,-0.12,-0.09,-0.05
199010,-0.09,0.11,0.08,-0.03,0.09,0,0.11,0.13,0.09,0.15,0.05,0.24,0.07,0.04,-0.11,-0.04,0.08,0.14,0.05,0.06,0.08,0
199011,0,0,-0.03,0.03,-0.04,0.04,-0.01,0.02,0,-0.09,-0.1,-0.12,-0.04,0.01,-0.05,0,-0.03,-0.02,-0.08,-0.02,0.05,0.07
199012,-0.02,0,0.01,0.04,-0.03,-0.05,-0.05,-0.04,0.01,-0.01,0.03,0.05,0.07,0,-0.1,-0.07,0.06,-0.02,0.03,0,-0.01,0.03
199101,0.06,-0.04,0.02,0,0.03,-0.01,0.04,0.03,0.08,-0.02,-0.03,0.03,0,0,0.07,-0.06,0.04,0.07,0.16,0.06,0.04,0.05
199102,0.07,0.16,0.11,0.07,0.1,0.1,0.1,0.07,0.1,0.18,0.15,0.13,0.11,0.08,0.09,0.09,0.13,0.13,0.08,0.07,0.08,0.07
199103,0.02,-0.1,-0.07,0,-0.09,0.08,-0.07,-0.13,0.06,-0.06,-0.09,-0.06,0.03,-0.04,-0.06,-0.06,0.01,-0.02,-0.04,-0.05,-0.05,0.02
199104,0.08,0.01,-0.03,0.01,-0.03,-0.05,-0.03,0.04,-0.03,-0.03,-0.02,0.03,-0.02,0.02,0.09,-0.06,0.01,-0.05,-0.06,0,-0.01,0
199105,-0.03,-0.02,0,0.04,0.04,-0.03,0.04,0.06,0.04,-0.01,0.06,0,0.03,0.02,0.04,0.1,0.01,0.05,0.08,0.04,0.01,0.04
199106,0.01,-0.11,-0.05,-0.02,-0.01,-0.13,-0.1,-0.09,0,-0.08,-0.09,-0.07,-0.04,-0.06,-0.05,-0.1,-0.03,-0.09,-0.03,-0.09,-0.08,-0.05
199107,0.06,-0.01,0.02,0.02,0.07,0.08,0.04,0.03,0.09,0.12,0.01,0.03,-0.02,0.06,0.02,0.06,0.01,0.01,0.04,0.06,0.12,0.05
199108,-0.01,0,0,0.01,0,-0.05,0.06,0.01,0,0,-0.03,-0.06,-0.08,0,-0.06,0.03,-0.04,0.03,-0.01,0,0.03,0.02
199109,0.04,0.03,0.02,-0.03,0.03,-0.08,0.06,0.02,-0.01,0.04,0,0.09,-0.04,0.02,0.02,-0.02,-0.02,0.06,-0.03,0.01,0.04,-0.02
199110,0.05,-0.13,0.02,0.05,-0.01,-0.02,-0.02,-0.02,0.02,-0.03,-0.04,0.04,0.03,0.01,0.08,-0.08,0.03,-0.03,-0.02,0,-0.03,0.02
199111,-0.05,0.09,0.01,-0.02,-0.02,-0.05,-0.03,0.02,0.03,-0.04,0.05,-0.07,0.01,0.01,0.01,-0.16,0.03,-0.06,-0.05,-0.01,-0.05,-0.04
199112,0,0.02,0.11,0,0.06,-0.01,0.09,0.07,0.04,0.09,0.04,0.03,0.06,0.08,-0.04,0.14,0.06,0.07,0.05,0.08,0.09,0.11
199201,-0.03,0.03,0,0.01,-0.01,0.1,0,0.01,0.09,0.01,0.03,-0.05,0.06,0,-0.01,0.02,0.03,0,0,0.01,-0.01,-0.02
199202,0.01,0.07,0,-0.01,-0.06,-0.02,0.04,0.03,0.08,-0.04,-0.01,-0.08,0.07,0,0.04,-0.1,0,0.04,-0.02,0.01,-0.01,0.01
