Date,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Japan,Netherlands,NewZealand,Spain,Sweden,Switzerland,UK,USA,Brazil,Chile,Mexico,Peru,South Korea
1/1/1996,0.034,0.132,0.084,0.055,0.060,0.024,0.080,0.093,0.128,0.046,0.048,0.037,-0.011,0.040,0.017,-0.015,0.021,0.034,0.174,-0.006,0.092,0.019,-0.005
2/1/1996,0.000,-0.018,0.000,-0.005,-0.002,0.037,-0.015,0.001,-0.020,-0.001,-0.033,0.020,0.017,0.049,0.073,0.033,-0.006,0.009,-0.031,0.000,-0.067,-0.001,-0.030
3/1/1996,-0.029,-0.015,-0.030,0.010,-0.003,0.016,0.027,0.005,-0.011,0.033,0.068,0.037,0.022,-0.014,0.014,0.088,0.001,0.010,-0.001,-0.041,0.085,-0.056,0.025
4/1/1996,0.039,0.064,0.050,0.036,0.030,0.082,0.051,0.008,0.007,0.048,0.030,0.045,0.001,0.061,0.051,0.007,0.036,0.015,0.026,0.042,0.038,0.044,0.122
5/1/1996,-0.023,0.020,0.038,0.021,0.009,0.065,-0.012,0.015,0.036,0.003,-0.004,0.034,-0.054,0.007,0.089,-0.024,-0.015,0.026,0.081,-0.020,0.007,0.030,-0.079
6/1/1996,-0.012,-0.038,0.009,-0.036,0.018,-0.029,0.024,0.007,-0.022,0.006,0.026,-0.017,0.032,0.040,-0.004,0.058,-0.007,0.004,0.049,0.046,0.005,0.065,-0.095
7/1/1996,-0.027,-0.056,-0.026,-0.022,-0.008,-0.019,-0.055,-0.034,-0.031,-0.039,-0.082,-0.044,0.030,-0.061,-0.052,-0.064,0.002,-0.044,-0.005,-0.023,-0.063,0.019,0.005
8/1/1996,0.039,0.011,0.010,0.045,0.048,0.087,-0.013,0.029,0.047,0.039,-0.025,0.031,0.051,0.012,0.063,0.044,0.052,0.021,0.027,-0.034,0.099,0.027,-0.049
9/1/1996,0.010,0.014,0.033,0.031,0.025,0.014,0.082,0.042,0.069,0.043,0.071,0.049,-0.010,0.047,0.042,0.025,0.026,0.056,0.020,0.026,-0.021,0.126,0.010
10/1/1996,0.030,0.012,0.014,0.059,0.026,0.013,0.004,0.003,0.051,0.006,-0.051,0.000,0.062,0.026,0.029,-0.003,0.008,0.028,0.029,0.002,-0.007,-0.067,-0.041
11/1/1996,0.017,0.048,0.051,0.077,0.033,0.093,0.082,0.070,0.077,0.000,0.027,0.094,0.029,0.084,0.086,0.048,0.022,0.076,0.006,-0.060,0.027,-0.045,-0.041
12/1/1996,0.018,0.020,0.005,-0.013,0.031,0.037,0.001,0.015,0.005,0.024,-0.079,0.027,0.015,0.105,0.039,0.010,0.018,-0.020,0.078,-0.047,0.021,-0.003,-0.104
1/1/1997,0.001,0.030,0.083,0.032,0.086,0.113,0.087,0.051,-0.009,0.072,-0.053,0.042,0.011,0.043,0.072,0.084,0.039,0.062,0.119,0.106,0.085,0.078,0.071
2/1/1997,0.006,0.042,0.044,0.009,0.037,0.042,0.036,0.074,0.006,0.040,0.012,0.092,-0.037,-0.004,0.036,0.050,0.010,0.008,0.105,0.049,0.054,0.051,-0.014
3/1/1997,-0.011,-0.007,0.002,-0.048,0.006,-0.009,0.019,0.052,-0.059,-0.006,-0.026,0.005,-0.016,0.023,0.054,0.038,0.009,-0.041,-0.007,-0.020,-0.024,0.033,0.002
4/1/1997,0.027,-0.017,0.046,0.022,0.007,0.038,-0.006,0.003,0.033,0.040,0.064,0.032,0.011,0.092,0.023,0.057,0.032,0.060,0.079,0.047,0.005,0.051,0.038
5/1/1997,0.050,0.082,0.011,0.070,0.053,0.031,-0.016,0.032,0.152,0.056,0.048,0.041,0.042,0.066,0.077,0.031,0.045,0.061,0.094,0.094,0.059,0.210,0.076
6/1/1997,0.047,0.026,0.069,0.011,0.029,0.060,0.124,0.067,0.031,0.036,0.027,0.089,0.066,0.097,0.087,0.120,-0.001,0.045,0.109,0.013,0.127,0.013,-0.015
7/1/1997,0.003,0.133,0.083,0.069,0.097,0.127,0.082,0.173,0.077,0.092,-0.013,0.141,0.029,-0.003,0.076,0.050,0.067,0.080,0.041,0.019,0.140,-0.048,-0.026
8/1/1997,-0.055,-0.098,-0.101,-0.037,-0.057,-0.080,-0.099,-0.120,-0.133,-0.030,-0.103,-0.116,-0.041,-0.041,-0.065,-0.115,-0.013,-0.056,-0.150,-0.051,-0.083,-0.038,-0.042
9/1/1997,0.070,0.066,0.051,0.067,0.073,0.121,0.086,0.067,0.067,0.068,-0.016,0.061,0.043,0.113,0.079,0.088,0.091,0.055,0.103,0.005,0.147,0.017,-0.069
10/1/1997,-0.107,-0.082,-0.041,-0.027,-0.050,-0.077,-0.089,-0.106,-0.293,-0.034,-0.080,-0.065,-0.075,-0.120,-0.118,-0.036,-0.076,-0.033,-0.244,-0.075,-0.126,-0.075,-0.272
11/1/1997,0.004,-0.054,0.024,-0.047,0.018,-0.010,0.044,0.060,-0.001,0.025,0.011,0.026,-0.023,0.087,0.058,0.056,-0.001,0.046,0.034,-0.026,0.070,-0.042,-0.134
12/1/1997,0.059,0.049,0.011,0.031,0.069,-0.031,0.049,0.076,0.020,0.079,-0.082,0.036,0.009,0.047,-0.015,0.085,0.065,0.017,0.087,-0.017,0.053,0.007,-0.077
1/1/1998,0.013,0.038,0.067,0.001,0.025,0.084,0.058,0.045,-0.137,0.080,0.090,0.047,-0.038,0.104,0.046,0.051,0.064,0.011,-0.064,-0.110,-0.126,-0.094,0.488
2/1/1998,0.010,0.044,0.053,0.060,0.007,0.153,0.079,0.061,0.242,0.143,0.012,0.119,0.023,0.119,0.090,0.087,0.058,0.072,0.077,0.104,0.047,-0.024,-0.018
3/1/1998,0.023,0.066,0.100,0.068,0.102,0.069,0.133,0.083,0.010,0.058,-0.014,0.053,0.008,0.148,0.065,0.060,0.035,0.051,0.124,0.061,0.051,0.076,-0.123
4/1/1998,0.009,0.037,0.033,0.015,-0.049,0.123,0.002,0.001,-0.095,0.012,-0.054,0.002,-0.013,-0.016,0.030,-0.018,0.001,0.010,-0.005,-0.063,0.018,0.108,-0.124
5/1/1998,-0.020,0.030,0.067,-0.009,0.011,-0.006,0.046,0.090,-0.135,-0.045,0.002,0.066,-0.032,0.000,0.040,0.035,-0.006,-0.017,-0.158,-0.085,-0.110,-0.039,-0.201
6/1/1998,-0.013,-0.058,0.067,-0.028,-0.008,0.047,0.051,0.059,-0.039,0.019,0.011,0.002,-0.091,0.017,0.014,0.035,-0.005,0.041,-0.045,-0.054,-0.051,-0.096,-0.115
