,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
19960731,-0.036335,0.00651,-0.061508,0.00943,-0.057097,-0.048839,-0.031095,0.003769,0.002625,0.002529,-0.04494,-0.010996
19960830,0.031148,0.01294,0.044397,0.03738,0.023392,0.038061,0.051787,0.00361,-0.000855,0.000965,0.01926,0.026815
19960930,0.031886,0.02716,0.037449,0.04505,0.060092,0.072293,-0.027739,0.003741,0.022957,0.023188,0.05582,0.036943
19961031,0.007752,0.00778,0.005879,-0.01814,-0.010781,0.029032,-0.007846,0.003584,0.025986,0.022815,0.03233,0.043612
19961129,0.052308,0.02469,0.035071,0.06306,0.069256,0.073981,-0.007189,0.003428,0.023695,0.023834,0.073,0.072984
19961231,0.015113,0.02711,-0.012663,0.05424,-0.001935,-0.042011,0.004963,0.003218,-0.012404,-0.009482,-0.02329,-0.005689
19970131,0.012618,0.02053,0.024229,0.01739,0.04119,0.085184,-0.039711,0.003267,0.003724,0.005316,0.06179,0.062086
19970228,0.018692,0.02011,-0.001075,0.03419,-0.048459,-0.013754,0.115038,0.002961,0.002271,0.005226,0.00957,0.00454
19970331,-0.024428,0.01972,-0.030409,-0.02479,-0.077788,-0.05068,-0.098449,0.003542,-0.012096,-0.0176,-0.04572,-0.029944
19970430,0.031696,0.04972,0.011706,0.02542,-0.012575,0.050878,-0.0546,0.003971,0.018053,0.015692,0.06437,0.028538
19970530,0.06298,0.13158,0.06281,0.05085,0.136168,0.056938,0.057753,0.003809,0.010269,0.0068,0.06321,0.060023
19970630,0.034113,0.09767,0.040954,0.00806,0.065529,0.060323,-0.051608,0.002627,0.011751,0.013982,0.04112,0.019069
19970731,0.04782,0,0.06003,0.07266,0.069267,0.118649,-0.009464,0.003057,0.027966,0.028258,0.07926,0.083157
19970829,0.004027,-0.12076,-0.033978,-0.03817,-0.00787,-0.074245,-0.025478,0.003628,-0.008625,-0.008811,-0.0518,-0.019071
19970930,0.039424,0.07952,0.025647,0.02381,0.082532,0.05611,0.053922,0.003326,0.01623,0.018074,0.04809,0.0334
19971031,-0.029909,-0.02455,-0.052128,-0.09507,-0.084414,-0.022253,-0.149612,0.003315,0.012022,0.006604,-0.0245,-0.056922
19971128,0.036193,0.03661,0.024723,0.10538,-0.036632,0.004836,-0.144029,0.00316,0.004602,-0.00042,0.0387,0.007161
19971231,0.022389,0.01545,0.023699,0.05542,-0.018794,0.008709,0.004146,0.003387,0.011716,0.008604,0.0191,0.017098
19980130,-0.006006,0.09348,-0.001705,0.00885,-0.000739,0.045821,0.045793,0.003416,0.015509,0.01083,0.01288,-0.000589
