"","HOUR_I_R","ALCHL_I","ALIGN_I","STRATUM_R","WRK_ZONE","WKDY_I_R","INT_HWY","LGTCON_I_R","MANCOL_I_R","PED_ACC_R","RELJCT_I_R","REL_RWY_R","PROFIL_I_R","SPD_LIM","SUR_COND","TRAF_CON_R","TRAF_WAY","VEH_INVL","WEATHER_R","INJURY"
"10504",0,2,1,1,0,1,0,2,2,0,1,1,0,40,1,1,2,2,1,0
"27944",1,2,1,0,0,1,0,1,2,0,0,1,0,65,1,0,2,2,1,0
"40457",0,2,1,0,0,1,0,1,0,0,0,0,0,25,1,0,1,1,1,1
"28914",1,2,1,0,0,1,0,1,0,0,0,1,0,35,1,0,2,1,1,1
"7224",0,1,1,1,0,1,0,3,2,0,1,1,0,45,1,2,1,2,1,0
"34643",1,2,1,1,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"4848",1,2,1,0,0,1,0,3,2,0,0,1,0,50,1,0,2,2,1,0
"5968",1,2,1,1,0,1,0,3,2,0,1,1,0,35,1,1,1,2,1,0
"23431",1,2,1,0,0,0,0,1,0,1,0,1,1,55,1,0,1,1,1,1
"39864",0,2,1,0,0,0,0,1,2,0,0,1,0,45,1,0,1,2,1,1
"27765",0,2,2,0,0,1,0,1,2,0,1,1,0,45,1,0,2,2,1,0
"34210",0,2,1,0,0,1,0,1,2,0,1,1,0,40,1,1,1,2,1,1
"22966",1,2,2,1,0,1,0,1,0,0,0,0,1,25,1,2,1,1,1,0
"7818",0,1,1,1,0,0,0,3,0,0,1,0,0,45,1,2,1,1,1,1
"4940",0,2,1,1,0,1,1,3,0,0,0,0,0,60,1,0,2,1,1,1
"10277",0,1,1,1,0,0,0,2,0,0,1,0,1,65,1,2,1,1,1,0
"24336",1,2,1,1,1,1,1,1,2,0,1,1,0,70,1,2,3,3,1,0
"22560",0,2,1,1,0,1,0,1,2,0,0,1,1,35,1,0,1,3,1,1
"34915",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,1,2,1,1
"34458",0,2,1,0,0,1,0,1,0,1,0,1,0,30,1,0,1,1,1,1
"17339",0,2,1,0,0,1,0,1,2,0,0,1,0,30,2,0,1,2,2,0
"27495",1,2,1,1,0,0,0,1,2,0,1,1,0,35,1,1,2,2,1,0
"20125",0,2,1,0,0,1,0,1,2,0,1,1,1,45,1,0,2,2,1,0
"29471",1,2,1,0,0,1,0,1,2,0,1,1,0,30,1,0,2,2,1,1
"31483",0,2,2,1,0,0,1,1,0,0,0,1,0,70,1,0,2,2,1,1
"35572",0,2,1,1,0,1,0,1,2,0,0,1,0,35,1,0,1,3,1,0
"23140",1,2,1,1,0,0,0,1,0,0,0,0,1,35,1,0,1,1,1,0
"14712",0,2,2,1,0,1,0,1,0,0,0,0,1,45,2,0,1,1,1,1
"21614",1,2,2,1,0,0,0,1,0,0,1,0,1,30,1,1,1,1,1,0
"11377",0,1,1,1,0,1,0,2,2,0,0,1,0,35,1,2,1,2,1,0
"28027",1,2,1,1,0,1,0,1,2,0,0,1,0,35,1,0,2,2,1,1
"757",1,1,2,0,0,1,0,3,2,0,1,1,0,45,1,2,3,2,1,1
"30021",0,2,1,0,0,1,0,1,2,0,0,1,0,55,1,0,2,2,1,0
"30776",0,2,1,0,0,1,0,1,2,0,1,1,0,50,1,1,2,2,1,0
"20104",0,2,1,1,0,1,0,1,2,0,1,1,1,40,1,1,2,2,1,1
"8357",0,2,1,1,0,1,0,2,2,0,0,1,1,65,2,0,2,3,2,1
"28702",0,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,2,3,1,0
"38633",0,2,1,0,0,1,0,1,2,0,1,1,0,55,1,2,1,2,1,1
"8325",0,2,2,1,0,1,0,2,0,0,1,0,1,65,2,0,3,1,2,0
"20793",0,2,1,0,0,0,0,1,2,0,1,1,1,35,1,1,1,2,1,1
"20608",0,2,1,1,0,0,1,1,0,0,0,0,1,70,1,0,2,1,1,1
"19844",1,1,1,0,0,0,0,1,2,0,1,1,1,60,1,0,2,3,1,1
"39755",0,2,1,0,0,0,0,1,2,0,1,1,0,40,1,0,1,2,1,1
"23727",0,2,1,0,0,0,0,1,2,0,1,1,0,25,1,1,3,2,1,0
"35103",0,2,1,0,0,1,0,1,2,0,1,1,0,40,1,0,1,3,1,1
"15399",1,2,2,1,0,1,1,1,2,0,0,1,0,60,2,0,2,2,2,1
"35036",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"12224",0,2,1,1,0,1,0,2,0,0,0,0,0,45,1,0,1,1,1,1
"39833",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,1
"16110",0,2,1,0,0,1,1,1,2,0,0,1,0,70,2,0,2,2,2,0
"34682",1,2,1,1,0,1,0,1,2,0,1,1,0,30,1,1,1,2,1,1
"24487",0,2,1,0,0,1,0,1,2,0,1,1,0,25,1,1,2,2,1,0
"9729",1,2,1,1,0,1,0,2,0,0,0,1,1,55,1,2,1,1,1,1
"13886",1,2,1,1,0,1,1,1,2,0,0,1,1,60,2,0,2,2,2,1
"40503",0,2,1,0,0,1,0,1,0,1,1,1,0,25,1,1,1,1,1,1
"37113",0,2,1,1,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,1
"29065",1,2,2,1,0,1,0,1,0,0,0,1,0,55,1,0,2,1,1,0
"18022",1,2,2,1,0,1,0,1,0,0,0,0,0,55,2,0,1,1,2,1
"41451",0,2,1,1,0,1,0,1,0,0,0,1,0,40,1,0,1,2,1,0
"32392",0,2,1,1,0,1,0,1,2,0,1,1,0,60,1,2,1,2,1,0
"21334",0,2,1,1,1,0,0,1,2,0,1,1,1,30,1,2,1,2,1,1
"14640",0,2,1,0,0,1,0,1,2,0,0,1,1,30,2,0,1,2,2,0
"6881",0,1,1,1,0,0,0,3,0,0,1,0,0,55,1,0,1,1,1,0
"38664",1,2,2,0,0,1,0,1,2,0,1,1,0,55,1,0,1,2,1,1
"30725",0,2,1,0,0,1,0,1,2,0,0,1,0,45,1,0,2,4,1,0
"19109",0,2,1,1,0,0,0,1,2,0,0,1,1,65,1,0,2,3,1,1
"39392",1,2,1,0,0,1,0,1,2,0,0,1,0,30,1,0,1,2,1,0
"2087",0,2,1,0,0,1,0,3,2,0,1,1,1,15,2,0,1,2,2,1
"8732",0,2,1,1,0,1,1,2,0,0,0,0,0,55,2,0,2,1,2,0
"36220",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,1,2,1,0
