"official","gender","age"
91.37,"M",43
143.88,"F",28
137.98,"M",34
137.07,"M",22
91.97,"M",43
148.13,"F",27
135.08,"M",35
85.2,"M",28
147.93,"F",26
97.02,"M",37
149.38,"F",32
129.72,"M",30
99.55,"M",29
147.3,"F",30
145.02,"M",31
106.43,"M",41
149.87,"F",20
114.95,"M",30
140.4,"M",28
153.72,"F",22
151.52,"F",25
92.08,"M",34
137.03,"M",28
102.55,"M",27
146.7,"F",31
141.17,"M",30
132.68,"M",34
98.58,"M",36
148.83,"F",31
138.97,"M",34
105.47,"M",28
150.65,"F",24
136.28,"M",25
106.73,"M",34
130.12,"M",32
152.75,"F",36
131.78,"M",26
106.98,"M",30
130.48,"M",28
134.35,"M",24
146.68,"M",25
126.57,"M",58
134.22,"M",29
113.57,"M",32
107.07,"M",25
132.73,"M",30
113.42,"M",18
122.33,"M",31
138.22,"M",31
121.53,"M",41
146.55,"M",32
106.7,"M",28
152.95,"M",20
141.42,"M",23
119.93,"M",25
107,"M",33
144.32,"M",29
149.62,"M",42
126.82,"M",33
128.1,"M",34
145.28,"M",29
130.58,"M",31
151.22,"M",35
168.27,"M",33
152.95,"M",35
146.97,"M",31
151.97,"M",22
132.02,"M",36
143.72,"M",31
136,"M",33
113.9,"F",27
154.15,"M",35
157.2,"F",32
113.97,"F",28
160.42,"F",30
124,"F",31
158.63,"M",34
124.82,"F",23
145.43,"M",37
164.88,"F",34
193.78,"F",39
163.62,"F",21
146.37,"F",30
149.03,"M",27
161,"F",32
149.27,"M",34
163.3,"F",37
173.88,"M",38
144.37,"M",29
166.58,"F",30
182.37,"F",39
160.85,"M",23
141.47,"M",34
174.37,"F",31
148.9,"M",29
167.27,"F",35
155.77,"M",33
176.73,"F",36
149.15,"M",26
174.62,"F",33
160.53,"M",26
156.48,"M",30
186.08,"F",30
144.42,"M",31
175.68,"F",29
155.03,"M",35
164.65,"M",26
156.78,"M",25
180.98,"F",19
153.3,"M",25
151.35,"M",38
156.75,"F",34
163.68,"M",35
152.57,"M",35
159.67,"M",34
157.47,"M",25
156.6,"F",41
164.65,"F",48
198.35,"F",42
163.27,"F",40
165.87,"F",40
170.43,"F",45
180.5,"F",41
167.67,"F",43
