Age,BachGPA,GMAT,MBAGPA
30,3.5,610,3.2
29,3.8,630,3
25,3.53,650,3.5
33,3.55,710,3.5
27,2.67,640,3.1
35,2.98,640,2.5
26,3.3,690,3.7
26,3.34,720,3.34
24,3.98,780,3.9
32,3.9,640,3.5
29,3.6,750,3.75
25,3.2,570,3
39,2.8,690,3.5
36,3.4,760,3.3
42,3.5,650,3
27,3.4,600,3.4
27,3.3,650,3.5
26,2.9,630,3.5
30,3.1,720,3.8
26,3.4,680,3.4
26,3.31,620,3.5
28,3.2,640,3.2
29,3.7,620,3.5
30,3.5,640,3.25
30,3.4,640,3.6
28,2.8,630,3
26,3.7,730,3.7
26,3.2,620,3.5
25,3.9,650,4
26,3.4,640,3.5
30,3,720,3
26,3.73,680,3.5
25,3.97,710,3.9
26,3.8,610,3.5
27,3.35,720,3.7
26,3.5,650,3.4
26,3.55,720,3.7
27,3.65,660,3.7
28,3.3,790,3.6
29,2.7,680,4
33,3.5,670,3.3
27,3.5,720,3.5
28,2.9,730,3.5
25,3.8,700,3.7
30,2.75,720,3.3
26,3.44,680,3.5
24,3.8,680,3.5
30,3,670,3
27,3.5,700,3.75
26,3.5,670,3.8
29,3.1,630,3
26,3.1,700,3.5
29,2.3,670,3.5
29,3,650,3.5
27,3.4,680,3.5
25,3.3,600,3.5
26,3.3,730,3.6
29,3.1,690,3.7
25,3.7,760,3.7
27,3.4,700,3.5
27,3.72,680,3.5
27,3.5,710,3.7
26,2.73,670,3.4
26,3.7,710,3.6
