age,sex,soc,edu,Reg,inc,colas,restrntEve,juice,cigs,antique,news,enders,friends,simpsons,football
67,2,3,1,3,12,1,0,1,0,1,0,0,0,0,0
51,2,3,8,3,10,1,1,0,1,1,0,1,1,0,0
63,2,3,1,2,13,1,1,0,1,1,0,1,0,0,0
45,2,4,3,1,18,1,1,1,0,1,0,0,0,0,0
52,2,5,2,8,13,0,1,1,0,1,0,1,1,0,0
58,2,1,3,9,17,0,0,1,1,1,1,0,0,0,0
52,2,3,3,2,13,0,1,1,1,0,0,0,0,0,0
44,2,1,8,8,18,1,1,1,0,0,0,0,1,1,0
49,2,4,2,9,12,1,1,1,0,0,0,0,0,0,0
71,1,2,1,9,11,0,0,1,0,1,1,1,0,0,0
69,2,3,5,7,8,0,1,1,0,0,0,0,0,0,0
41,1,4,2,8,13,1,1,1,0,0,0,1,1,1,1
52,1,4,3,4,12,0,0,0,1,0,0,0,0,0,0
65,2,4,2,11,8,1,1,1,0,0,0,0,0,0,1
61,1,4,3,2,15,0,1,1,0,0,1,0,0,0,1
16,1,2,3,8,19,0,1,0,1,0,0,1,1,1,1
71,1,4,1,6,5,0,0,0,0,1,1,0,0,0,0
43,2,4,3,4,11,0,1,1,0,0,0,0,1,1,0
63,2,4,1,9,12,1,1,0,0,0,0,1,0,0,0
35,2,5,3,2,16,1,1,1,0,0,1,0,0,1,0
19,1,4,5,7,9,1,0,0,1,0,0,0,0,0,0
52,1,5,2,8,16,0,1,1,0,1,0,0,0,0,0
64,2,6,2,3,11,0,1,1,1,0,1,0,0,0,0
54,1,3,6,7,19,0,1,1,0,1,0,1,0,0,0
21,2,6,3,4,12,1,1,1,0,0,0,0,1,1,0
42,2,3,5,11,15,1,1,1,0,0,0,1,1,0,0
74,2,3,1,1,9,0,0,1,0,0,0,0,0,0,0
63,1,3,1,9,13,1,1,1,0,0,0,1,0,0,1
59,2,3,3,8,5,1,0,0,0,0,0,1,0,0,0
67,2,6,2,11,7,0,1,1,0,0,0,0,0,0,0
43,1,6,2,4,1,1,0,1,1,0,0,0,0,0,0
39,2,3,5,4,15,1,0,1,0,0,0,0,0,1,0
46,1,4,2,9,13,1,1,1,0,0,1,0,0,0,0
56,2,3,8,5,13,0,0,1,0,1,1,1,0,0,0
29,2,5,3,7,15,1,1,1,0,0,0,1,0,1,0
62,1,3,2,1,13,1,1,1,0,0,1,0,0,0,0
24,2,4,5,10,6,0,1,1,1,0,0,0,0,0,0
48,1,5,3,1,9,0,0,0,0,1,1,0,0,0,0
77,2,3,1,11,12,0,0,0,1,1,1,0,0,0,0
20,1,5,3,2,10,1,1,1,0,0,0,0,0,1,1
74,2,6,5,7,13,0,1,1,0,1,1,1,0,0,0
39,2,4,4,8,13,1,1,1,0,0,0,1,0,0,0
61,2,4,2,5,12,1,1,1,0,1,0,0,0,0,0
58,1,4,2,9,12,0,1,1,0,0,0,0,0,0,0
36,1,3,3,11,13,1,1,1,0,0,0,0,0,0,0
73,1,3,2,5,7,0,0,1,0,0,0,0,0,0,0
64,1,6,2,2,2,0,0,0,1,1,0,0,0,0,0
71,2,5,1,10,2,0,0,0,0,1,1,0,0,0,0
28,2,3,5,5,12,0,1,0,1,0,0,0,1,0,0
29,1,2,5,2,14,1,1,0,0,0,1,0,1,1,0
50,2,2,2,3,16,1,1,1,0,0,0,0,0,0,0
23,2,3,8,5,16,1,1,0,0,0,0,1,1,1,0
40,2,4,3,1,14,1,0,1,0,0,0,0,0,0,0
54,1,4,8,3,15,1,1,1,0,1,1,0,0,0,0
50,2,1,8,7,19,0,1,1,0,1,1,1,0,0,0
32,2,5,6,10,15,1,1,1,0,0,1,1,0,0,0
32,1,4,3,3,13,1,1,1,1,0,1,1,0,0,0
53,1,4,2,4,14,0,1,1,0,1,1,1,0,0,0
47,2,2,3,7,18,1,1,1,0,1,1,0,0,0,0
57,2,6,4,2,13,1,1,0,0,0,1,1,0,0,0
39,2,3,3,9,13,1,1,1,0,0,0,1,0,0,0
47,2,4,2,1,15,1,1,1,0,0,0,0,0,0,0
30,2,3,4,4,12,0,1,1,0,0,1,0,0,0,0
38,1,4,3,7,12,0,1,1,0,0,0,0,0,0,0
49,1,4,3,7,18,0,1,1,0,0,0,1,0,0,1
51,2,2,5,11,19,1,1,1,0,1,1,0,0,0,0
55,2,5,2,1,13,1,0,1,1,0,0,0,0,0,0
51,2,4,2,10,17,0,0,0,0,0,0,0,0,0,0
42,2,4,2,8,13,0,1,1,1,1,1,1,0,0,0
33,2,5,3,4,14,1,1,0,0,0,0,1,1,0,0
67,2,6,1,11,3,0,0,1,0,0,0,1,0,0,0
59,2,3,7,4,12,0,1,0,0,1,1,1,0,0,0
72,1,3,1,4,1,0,0,1,0,1,0,1,0,0,0
42,1,2,9,11,14,1,0,1,0,1,1,0,0,0,0
42,2,4,2,8,13,0,0,1,0,0,1,0,1,0,0
49,2,3,2,9,13,0,0,1,0,1,1,1,0,0,0
58,2,4,2,1,12,0,0,1,0,1,1,0,0,0,0
28,1,2,3,8,19,1,1,1,1,0,0,0,1,1,0
37,1,2,9,11,18,1,1,0,0,0,0,0,1,1,0
44,1,6,2,3,4,1,1,1,1,0,0,0,0,0,0
60,1,5,3,11,6,0,0,0,0,1,1,0,0,0,0
33,1,5,3,11,12,1,1,1,0,1,1,0,0,0,0
50,2,5,2,2,8,0,0,1,1,0,0,1,0,0,0
58,1,4,3,2,12,1,1,0,0,1,0,0,0,0,0
36,1,5,3,7,12,1,0,1,0,0,0,1,0,1,1
59,1,5,3,6,3,1,1,1,0,0,0,1,0,0,0
52,2,3,2,8,13,0,1,1,0,1,0,0,0,0,0
33,1,4,3,3,14,1,1,1,0,0,1,0,0,0,1
58,2,4,2,5,12,0,1,0,1,1,1,1,0,0,0
35,2,3,3,5,16,1,1,1,0,0,1,1,0,0,0
