SP500,AA,ALD,AXP,BA,CAT,CHV,DD,DIS,EK,ENE,GE,GM,GT,HWP,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,PG,S,TRV,UK,UTX,WMT,XON
-0.0199,0.001942,0.128205,0.006098,0.065445,0.068946,-0.077899,-0.002681,0.193668,0.046632,-0.103571,-0.01634,0.121212,0.128505,0.039474,0.011236,0.021201,-0.061135,-0.118397,-0.034268,0.144737,-0.044619,-0.048287,-0.056306,0.110519,0.082508,0.057143,0.141975,-0.064516,-0.084926,-0.043121
0.009565,0.081783,0.007576,0.018182,-0.090909,0.045455,-0.018468,0.003656,0.126374,-0.106436,0.087649,0.04485,0.170656,0.067909,0.232068,-0.021278,0.028304,-0.054419,-0.006198,0.054839,-0.066839,0.008791,0.00491,0.003182,-0.020482,0.070122,0,0.075676,0.003448,0.00232,-0.007811
-0.021832,0.016216,0.017632,0.101191,-0.046196,0.023018,0.03854,0.02973,-0.013821,-0.089636,0.068132,-0.029571,-0.023333,0.013592,0.105479,-0.038849,-0.003384,-0.037037,-0.030437,0.003425,-0.015432,-0.024725,-0.006189,-0.062236,0.00615,0.034582,-0.03012,0.015228,0.032258,-0.012917,-0.041575
0.027893,0.103191,0.153465,-0.016393,0.002849,0.1255,0.089844,0.139108,-0.037362,-0.024615,0.013841,0.011551,0.133106,0.113027,-0.006211,0.086826,0.011885,-0.026923,-0.047619,0.015291,0.112853,0.056338,0.028053,-0.014444,0.015159,-0.027855,0.014286,0.11,0.038462,-0.018779,0.09589
0.000964,0.003231,0,0.011111,0.002841,0.075724,0.035125,-0.019539,0.042882,0.018927,0.14198,-0.003263,-0.039157,-0.020998,-0.05,0.013333,-0.048054,0.025929,0.043182,0.060241,0.058592,0.028533,-0.004815,0.042241,-0.004843,0.011461,-0.055385,0.045045,-0.019444,0.014354,0.022417
-0.017359,-0.022544,-0.073276,0.032967,-0.091168,-0.109731,-0.061296,-0.042654,-0.049342,0.00627,0.009036,0.025205,0.11348,-0.033451,-0.091118,0.078512,-0.008865,-0.076129,-0.012288,-0.087727,-0.018667,0.014379,-0.044839,-0.027692,-0.104623,-0.088825,0,-0.056522,-0.004762,0.015142,0.020619
0.039374,-0.028007,0.032558,-0.010753,0.003135,0.030698,0.065298,0.061881,-0.002007,0.084112,0.083582,-0.016077,-0.053977,-0.009107,0.067151,-0.031928,-0.044723,0.100559,0.066815,0.046875,-0.046196,0.030928,0.086735,0.064103,0.106522,0.006289,0.151792,0.296467,0.090909,0.039535,0.026263
-0.023998,-0.118305,-0.051802,-0.092391,-0.0625,-0.126697,0.041331,-0.071049,-0.041667,0.028736,0.056749,-0.03268,-0.158559,-0.070221,-0.221088,-0.072982,-0.061124,0.007208,-0.006263,0.026866,-0.02906,-0.007,0.026604,-0.057831,-0.074074,0.05,-0.096591,-0.095833,-0.027193,0.022371,0.02315
0.009106,0.025145,-0.00716,0.05988,-0.013423,0.080311,0.008503,-0.04557,0.050725,0.00565,0.028871,0.065405,-0.072202,-0.033663,-0.022707,-0.067821,0.026104,-0.04557,0.055378,-0.054884,0.044118,0.040609,0.041463,-0.084833,0.053333,0.078313,0.100629,-0.018692,-0.109091,0.03593,-0.005837
0.002106,0.05283,0.067308,-0.022857,-0.020408,0.005276,-0.042159,0.026525,0.087655,-0.081461,0,-0.019169,-0.042802,0.131148,0.020179,-0.171827,0.013699,0.061008,0.012048,0.003086,0.033803,0.003659,-0.103245,-0.014045,0.076456,-0.061453,-0.022857,0.114286,-0.066327,0.029598,-0.041096
