drefus,fidel,keystne,Putnminc,scudinc,windsor,eqmrkt,valmrkt,tbill
-0.06278,-0.07794,-0.07198,-0.01289,-0.02854,-0.02976,0.02279,-0.03654,0.004
-0.04229,-0.03953,-0.09972,-0.04244,-0.02704,-0.02355,-0.05713,-0.03386,0.0039
0.02171,0.01654,0.01692,-0.00796,0.01145,0.00224,-0.01236,0.00514,0.0038
0.10037,0.09255,0.19062,0.07416,0.0717,0.08842,0.14167,0.09382,0.0043
0.02139,0.03077,0.07624,0.02481,0.03521,0.02512,0.09028,0.02639,0.0045
0.00131,-0.01027,-0.02834,0.01895,-0.00228,0.03522,0.01555,0.01137,0.0043
-0.03791,-0.02854,-0.04899,-0.04489,-0.01658,-0.00493,-0.02725,-0.02218,0.0048
0.02046,0.0187,0.04242,0.02623,0.01279,0.0114,0.03535,0.01735,0.0042
0.05548,0.04523,0.05523,0.05325,0.03813,0.04557,0.06731,0.04356,0.0043
0.01013,-0.00408,-0.00551,0.01535,0.0039,0.01687,0.00576,0.00886,0.0044
0.0623,0.05668,0.08033,0.06351,0.02217,0.06559,0.07067,0.0577,0.0042
-0.02547,-0.05393,-0.05256,-0.01991,-0.04973,-0.02746,0.00555,-0.03392,0.0043
-0.00061,-0.01479,-0.00812,0.00301,0,0.01412,-0.00292,-0.00678,0.0053
-0.07038,-0.06867,-0.11733,-0.07407,-0.04515,-0.04513,-0.08721,-0.05392,0.0046
0.01514,0.02994,0.02473,0.01946,0.00952,0.04827,0.01839,0.02986,0.0046
0.01421,0.01781,0.04374,-0.00215,0.03082,0.00815,0.00305,0.02055,0.0053
-0.00352,-0.00393,-0.00867,-0.0129,-0.01403,-0.0019,0.00568,0.00489,0.0048
-0.06634,-0.06344,-0.1414,-0.06318,-0.05296,-0.04711,-0.11447,-0.06804,0.0051
-0.05896,-0.07463,-0.08489,-0.04476,-0.05,-0.06282,-0.09715,-0.06551,0.0053
0.0573,0.05873,0.10021,0.02096,0.04155,0.04506,0.05155,0.05101,0.005
-0.00076,-0.00391,-0.0019,-0.01932,0.01675,-0.00316,-0.02487,-0.02284,0.0062
0.04966,0.06588,0.05703,0.03371,0.06719,0.06329,0.09206,0.05523,0.006
-0.02705,-0.03532,-0.03237,-0.03623,-0.03827,-0.02902,-0.05562,-0.03224,0.0052
-0.02705,-0.02593,-0.02231,-0.02506,-0.02267,-0.01921,-0.06755,-0.0203,0.0064
-0.0834,-0.07822,-0.09696,-0.02517,-0.05169,-0.05005,-0.04004,-0.07366,0.006
0.0461,0.04734,0.04842,0.0394,0.05245,0.08591,0.0392,0.05649,0.0062
-0.00678,-0.01593,-0.04016,0.01438,0.01153,0.00317,-0.02417,-0.00464,0.0057
-0.11263,-0.11942,-0.19665,-0.06013,-0.09457,-0.10095,-0.16232,-0.10506,0.005
-0.06576,-0.06011,-0.09635,-0.05146,-0.05852,-0.06421,-0.09097,-0.06421,0.0053
-0.03727,-0.04176,-0.05476,-0.02493,-0.03892,-0.03558,-0.07433,-0.051,0.0058
0.06989,0.0513,0.05488,0.0474,0.05372,0.08432,0.05874,0.07403,0.0052
0.0364,0.05089,0.03207,0.0292,0.04157,0.02552,0.06144,0.05021,0.0053
0.03317,0.04693,0.09887,0.02979,0.03951,0.04502,0.12565,0.04728,0.0054
-0.01605,-0.02575,-0.03085,-0.00561,-0.02339,-0.02268,-0.05871,-0.01796,0.0046
0.04151,0.03965,0.02918,0.04372,0.04267,0.04706,0.00266,0.04996,0.0046
0.0519,0.05697,0.06186,0.04595,0.06565,0.06517,0.08106,0.0606,0.0042
0.05815,0.05311,0.07767,0.05636,0.05476,0.0327,0.13518,0.05156,0.0038
0.00931,0.02261,0.0473,0.0062,0.01233,0.00715,0.04725,0.01681,0.0033
0.05117,0.054,0.09462,0.03699,0.03618,0.04564,0.05592,0.04437,0.003
0.0423,0.04679,0.04126,0.0241,0.0187,0.00388,0.02652,0.03344,0.0028
-0.03846,-0.03777,-0.03208,-0.03647,-0.04039,-0.03033,-0.05033,-0.03677,0.0029
-0.0008,-0.0012,0.0156,0.00977,0.00772,0.00505,-0.01801,0.00281,0.0037
-0.03923,-0.05974,-0.07102,-0.01348,-0.01595,-0.02711,-0.05401,-0.0404,0.004
0.03518,0.05203,0.07261,0.03106,0.03372,0.01754,0.0394,0.04169,0.0047
-0.0178,-0.0154,0.0058,0.00361,-0.0019,-0.01927,-0.00446,-0.00509,0.0037
-0.0486,-0.05311,-0.06923,-0.02561,-0.01838,-0.03102,-0.05862,-0.0408,0.0037
0.00087,0.00217,0.0062,-0.0025,-0.00129,-0.00854,-0.03406,-0.00121,0.0037
0.09044,0.10325,0.13963,0.04392,0.07793,0.08227,0.11744,0.09125,0.0037
0.02313,0.04691,0.0973,0.02071,0.02248,0.02463,0.10395,0.02769,0.0029
0.04022,0.04787,0.05747,0.01551,0.00772,0.00523,0.04114,0.03168,0.0025
0.00986,0.01316,0.03416,0.0094,0.00778,0.0052,-0.0023,0.00837,0.0027
0.00601,0.01804,0.00601,0.00118,0.01129,-0.0031,0.00038,0.00553,0.0029
0.01574,0.0287,0.05522,0.01885,0.00353,-0.0074,-0.01964,0.01629,0.003
-0.05018,-0.03961,-0.02829,-0.0185,-0.01239,-0.02875,-0.03491,-0.02161,0.0029
-0.01399,-0.01973,-0.04804,0,0.00597,-0.00987,-0.03002,-0.00403,0.0031
0.02771,0.015,-0.03211,0.01432,0.04691,0.07309,0.01131,0.03461,0.0029
-0.03005,-0.03353,-0.03476,-0.00824,0.00629,-0.02167,-0.03061,-0.00728,0.0034
0.00874,0.00224,-0.01473,0.01687,0.01079,0.02004,-0.01408,0.00811,0.004
0.05696,0.04764,0.02658,0.03199,0.03202,0.0634,0.05133,0.0493,0.0037
-0.01572,0.01137,0.01295,0,-0.00274,-0.01778,-0.02017,0.01192,0.0037
-0.06122,-0.0525,-0.08467,-0.00698,-0.01046,-0.05325,-0.03842,-0.02761,0.0044
-0.04323,-0.03781,-0.12391,-0.01405,-0.02725,-0.04724,-0.07369,-0.04236,0.0041
0.00682,-0.00856,-0.04383,0.00356,-0.00643,-0.01299,-0.0269,-0.00598,0.0046
-0.06435,-0.07889,-0.14375,-0.02278,-0.02825,-0.05263,-0.07168,-0.04798,0.0052
-0.04186,-0.03366,-0.06813,-0.00368,-0.02181,-0.0527,-0.08238,-0.02175,0.0051
-0.00855,-0.01235,-0.03655,0.00123,0.00062,-0.03392,-0.03255,-0.00811,0.0051
0.04694,0.09688,0.18157,-0.00249,0.03556,0.05899,0.12126,0.05458,0.0064
-0.03036,-0.01872,-0.00688,-0.00875,-0.02831,-0.02255,-0.04895,-0.02951,0.007
0.07211,0.03443,0.097,0.04414,0.045,0.09769,0.08748,0.05197,0.0068
0.00177,0,-0.01684,-0.00604,-0.00239,-0.01978,-0.00038,0.00025,0.0065
-0.10302,-0.14395,-0.21627,-0.01854,-0.10552,-0.14455,-0.18324,-0.11842,0.0056
0.04654,0.00796,0.01913,0.01197,0.01763,0.01997,-0.03948,0.0126,0.0064
-0.01892,-0.02028,-0.01609,0.00127,-0.00933,0.06777,0.14355,0.00169,0.0063
0.02233,0.01252,0.00273,0.00633,0,0.02116,0.00353,0.00331,0.0058
-0.04938,-0.03661,-0.07337,-0.03899,-0.03121,-0.02072,-0.00308,-0.02311,0.0056
-0.04296,-0.03208,-0.05865,-0.03338,-0.04132,-0.03667,-0.06013,-0.04427,0.0075
-0.04937,-0.02244,-0.06854,-0.01105,-0.04383,-0.06003,-0.07623,-0.0385,0.0075
-0.03204,-0.03234,-0.0602,-0.03631,-0.01466,-0.0414,-0.03238,-0.01977,0.006
-0.04224,-0.10135,-0.11744,-0.01667,-0.06421,-0.02326,-0.04602,-0.07011,0.007
-0.06363,-0.07079,-0.08065,-0.02108,-0.07699,-0.07653,-0.08993,-0.08618,0.006
-0.0718,-0.15429,-0.15351,0.01077,-0.05963,-0.09024,-0.08005,-0.11013,0.0081
0.17127,0.20992,0.19689,0.0586,0.12195,0.1498,0.10217,0.16422,0.0051
-0.02019,-0.03659,-0.02597,0.00884,-0.02696,-0.01633,-0.05477,-0.04201,0.0054
