"name","weight","height","team"
"foster,jeff",250,83,"ind"
"gadzuric,dan",240,83,"mil"
"biedrins,andris",245,83,"gsw"
"diop,desagana",280,84,"njn"
"haywood,brendan",263,84,"was"
"mohammed,nazr",250,82,"cha"
"dampier,erick",265,83,"dal"
"collison,nick",255,82,"sea"
"noah,joakim",232,83,"chi"
"gray,aaron",270,84,"chi"
"chandler,tyson",245,85,"nor"
"ilgauskas,zydrun",260,87,"cle"
"dalembert,samuel",250,83,"phi"
"wallace,ben",240,81,"cle"
"mutombo,dikembe",261,86,"hou"
"przybilla,joel",255,85,"por"
"varejao,anderson",240,82,"cle"
"bynum,andrew",285,84,"lal"
"horford,al",245,82,"atl"
"hollins,ryan",230,84,"cha"
"pachulia,zaza",265,83,"atl"
"oberto,fabricio",245,83,"san"
"foyle,adonal",270,82,"orl"
"oneal,shaquille",325,85,"pho"
"williams,sean",235,82,"njn"
"howard,dwight",265,83,"orl"
"duncan,tim",260,83,"san"
"armstrong,hilton",235,83,"nor"
"bogut,andrew",245,84,"mil"
"nesterovic,rasho",270,84,"tor"
"thomas,kurt",235,81,"san"
"camby,marcus",230,83,"den"
"kaman,chris",260,84,"lac"
"frye,channing",245,83,"por"
"ming,yao",310,90,"hou"
"swift,stromile",230,82,"njn"
"perkins,kendrick",271,82,"bos"
"milicic,darko",250,84,"mem"
"barron,earl",245,84,"mia"
"petro,johan",247,84,"sea"
"curry,eddy",285,83,"nyk"
"hawes,spencer",230,84,"sac"
"brown,kwame",270,83,"lal"
"oneal,jermaine",260,83,"ind"
"stoudemire,amare",245,82,"pho"
"moore,mikki",225,84,"sac"
"miller,brad",261,84,"sac"
"elson,francisco",235,84,"sea"
"harrison,david",280,84,"ind"
"collins,jarron",260,83,"uta"
"okur,mehmet",249,83,"uta"
"collins,jason",255,84,"njn"
"blount,mark",250,84,"mia"
"krstic,nenad",260,84,"njn"
"wallace,rasheed",230,83,"det"
"bargnani,andrea",225,84,"tor"
"ruffin,michael",248,80,"mil"
"landry,carl",245,81,"hou"
"evans,reggie",245,80,"phi"
"johnson,amir",210,81,"det"
"boone,josh",245,82,"njn"
"jefferson,al",256,82,"min"
"maxiell,jason",260,79,"det"
"lee,david",235,81,"nyk"
"millsap,paul",245,80,"uta"
"humphries,kris",235,81,"tor"
"blatche,andray",248,83,"was"
"richard,chris",255,81,"min"
"powell,josh",225,81,"lac"
"smith,joe",225,82,"cle"
"okafor,emeka",255,83,"cha"
"mcdyess,antonio",245,81,"det"
"scola,luis",230,81,"hou"
"gooden,drew",242,82,"chi"
"randolph,zach",258,81,"nyk"
"aldridge,lamarcu",237,83,"por"
"smith,craig",250,80,"mil"
"bass,brandon",240,80,"dal"
"thomas,tyrus",215,80,"chi"
"villanueva,charl",240,83,"mil"
"skinner,brian",265,81,"pho"
"wilcox,chris",235,82,"sea"
"bosh,chris",230,82,"tor"
"jamison,antawn",235,81,"was"
"boozer,carlos",258,81,"uta"
"smith,jason",240,84,"phi"
"odom,lamar",230,82,"lal"
"turiaf,ronny",250,82,"lal"
"gasol,pau",260,84,"lal"
"west,david",240,81,"nor"
"walker,antoine",245,81,"min"
"jianlian,yi",238,84,"mil"
"bonner,matt",240,81,"san"
"marion,shawn",228,79,"mia"
"haslem,udonis",235,80,"mia"
"horry,robert",240,82,"san"
"allen,malik",255,82,"dal"
"johnson,alexande",240,81,"mia"
"garnett,kevin",220,83,"bos"
"smith,josh",225,81,"atl"
"songaila,darius",240,81,"was"
"murphy,troy",245,83,"ind"
"kleiza,linas",235,80,"den"
"harrington,al",245,81,"gsw"
"martin,kenyon",240,81,"den"
"green,jeff",235,81,"sea"
"ely,melvin",261,82,"nor"
"cook,brian",250,81,"orl"
"scalabrine,brian",235,81,"bos"
"diaw,boris",230,80,"pho"
"radmanovic,vladi",235,82,"lal"
"nowitzki,dirk",245,84,"dal"
"thomas,tim",235,82,"lac"
"ellis,monta",177,75,"gsw"
"crittenton,javar",198,77,"mem"
"rondo,rajon",176,73,"bos"
"kidd,jason",210,76,"dal"
"miller,andre",205,74,"phi"
"armstrong,darrel",180,73,"njn"
"davis,baron",215,75,"gsw"
"robinson,nate",180,69,"nyk"
"stuckey,rodney",205,77,"det"
"ivey,royal",215,76,"mil"
"murray,ronald",190,76,"ind"
"jackson,bobby",185,73,"hou"
"allen,tony",221,76,"bos"
"farmar,jordan",180,74,"lal"
"miles,c.j.",210,78,"uta"
"williams,louis",175,74,"phi"
"brooks,aaron",160,72,"hou"
"paul,chris",175,72,"nor"
"marbury,stephon",205,74,"ny"
"stoudamire,damon",174,70,"san"
"rodriguez,sergio",168,75,"por"
"west,delonte",180,75,"cle"
"ford,t.j.",165,72,"tor"
"diener,travis",175,73,"ind"
"james,mike",188,74,"nor"
"watson,earl",195,73,"sea"
"douby,quincy",175,75,"sac"
"bell,charlie",200,75,"mil"
"tinsley,jamaal",183,75,"ind"
"boykins,earl",133,65,"cha"
"pargo,jannero",175,73,"nor"
"billups,chauncey",202,75,"det"
"barbosa,leandro",188,75,"pho"
"williams,marcus",205,75,"njn"
"udrih,beno",205,75,"sac"
"navarro,juan_car",170,75,"mem"
"williams,mo",185,73,"mil"
"conley,mike",180,73,"mem"
"nelson,jameer",190,72,"orl"
"johnson,anthony",200,75,"sac"
"iverson,allen",165,72,"den"
"carter,anthony",195,74,"den"
"law,acie",195,75,"atl"
"jack,jarrett",197,75,"por"
"harris,devin",185,75,"njn"
"price,ronnie",190,74,"uta"
"duhon,chris",185,73,"chi"
"calderon,jose",210,75,"tor"
"cassell,sam",185,75,"bos"
"parker,tony",180,74,"san"
"head,luther",185,75,"hou"
"dickau,dan",181,72,"lac"
"blake,steve",172,75,"por"
"felton,raymond",198,73,"cha"
"lue,tyronn",178,72,"dal"
"terry,jason",180,74,"dal"
"hinrich,kirk",190,75,"chi"
"vaughn,jacque",190,73,"san"
"alston,rafer",175,74,"hou"
"mcinnis,jeff",179,76,"cha"
"williams,deron",210,75,"uta"
"fisher,derek",205,73,"lal"
"ridnour,luke",175,74,"sea"
"daniels,antonio",205,76,"was"
"bibby,mike",190,73,"atl"
"nash,steve",195,75,"pho"
"mason,roger",200,77,"was"
"knight,brevin",170,71,"lac"
"telfair,sebastia",160,72,"min"
"quinn,chris",175,74,"mia"
"hart,jason",185,75,"uta"
"arroyo,carlos",202,74,"orl"
"banks,marcus",200,74,"mia"
"parker,smush",190,76,"lac"
"williams,jason",180,73,"mia"
"dooling,keyon",195,75,"orl"
"jones,damon",195,75,"cle"
"powe,leon",244,80,"bos"
"davis,glen",289,81,"bos"
"dudley,jared",225,79,"cha"
"balkman,renaldo",208,80,"nyk"
"jeffries,jared",240,83,"nyk"
"williams,shelden",250,81,"sac"
"hayes,chuck",238,78,"hou"
"bowen,ryan",220,81,"nor"
"young,thaddeus",220,80,"phi"
"childress,josh",210,80,"atl"
"mcguire,dominic",220,81,"was"
"harpring,matt",231,79,"uta"
"warrick,hakim",219,81,"mem"
"najera,eduardo",220,80,"den"
"barnes,matt",235,79,"gsw"
"anthony,carmelo",230,80,"den"
"deng,luol",220,81,"chi"
"gomes,ryan",250,79,"min"
"chandler,wilson",220,80,"nyk"
"williams,shawne",225,81,"ind"
"ariza,trevor",200,80,"lal"
"kirilenko,andrei",225,81,"uta"
"wright,julian",225,80,"nor"
"walton,luke",235,80,"lal"
"carney,rodney",205,79,"phi"
"artest,ron",246,79,"sac"
"gay,rudy",220,80,"mem"
"mason,desmond",222,77,"mil"
"howard,josh",210,77,"dal"
"simmons,bobby",235,78,"mil"
"thornton,al",220,80,"lac"
"battier,shane",220,80,"hou"
"brewer,corey",185,81,"min"
"james,lebron",250,80,"cle"
"outlaw,travis",210,81,"por"
"diawara,yakhouba",225,79,"den"
"wright,dorell",205,81,"mia"
"williams,marvin",228,81,"atl"
"moon,jamario",205,80,"tor"
"butler,caron",228,79,"was"
"prince,tayshaun",215,81,"det"
"delfino,carlos",230,78,"tor"
"nachbar,bostjan",221,81,"njn"
"jones,james",220,80,"por"
"hill,grant",225,80,"pho"
"granger,danny",228,80,"ind"
"wright,antoine",215,79,"dal"
"maggette,corey",225,78,"lac"
"lewis,rashard",215,82,"orl"
"jefferson,richar",230,79,"njn"
"udoka,ime",215,77,"san"
"hayes,jarvis",220,80,"det"
"turkoglu,hedo",220,82,"orl"
"garcia,francisco",195,79,"sac"
"durant,kevin",225,81,"sea"
"wallace,gerald",220,79,"cha"
"nocioni,andres",225,79,"chi"
"stojakovic,peja",229,82,"nor"
"szczerbiak,wally",245,79,"cle"
"dunleavy,mike",230,81,"ind"
"kapono,jason",215,80,"tor"
"pierce,paul",240,79,"bos"
"butler,rasual",205,79,"nor"
"posey,james",217,80,"bos"
"bowen,bruce",200,79,"san"
"korver,kyle",211,78,"uta"
"newble,ira",220,79,"lal"
"azubuike,kelenna",220,77,"gsw"
"wells,bonzi",210,77,"nor"
"evans,maurice",220,77,"orl"
"jones,bobby",215,79,"san"
"pietrus,mickael",215,78,"gsw"
"brewer,ronnie",217,79,"uta"
"daniels,marquis",200,78,"ind"
"snyder,kirk",225,78,"min"
"wilkins,damien",225,78,"sea"
"carter,vince",220,78,"njn"
"afflalo,arron",215,77,"det"
"brown,devin",220,77,"cle"
"ross,quinton",195,78,"lac"
"sefolosha,thabo",215,79,"chi"
"george,devean",235,80,"dal"
"redd,michael",215,78,"mil"
"hamilton,richard",193,79,"det"
"richardson,quent",235,78,"nyk"
"smith,j.r.",220,78,"den"
"salmons,john",207,78,"sac"
"collins,mardy",220,78,"nyk"
"pavlovic,sasha",210,79,"cle"
"bryant,kobe",220,78,"lal"
"roy,brandon",215,78,"por"
"allen,ray",205,77,"bos"
"ginobili,manu",205,78,"san"
"iguodala,andre",207,78,"phi"
"hassell,trenton",200,77,"njn"
"richardson,jason",225,78,"cha"
"mccants,rashad",207,76,"min"
"webster,martell",229,79,"por"
"johnson,joe",230,79,"atl"
"wade,dwyane",216,76,"mia"
"stackhouse,jerry",218,78,"dal"
"dixon,juan",164,75,"det"
"jackson,stephen",218,80,"gsw"
"jacobsen,casey",198,78,"mem"
"barry,brent",210,79,"san"
"martin,kevin",185,79,"sac"
"lowry,kyle",185,72,"mem"
"miller,mike",218,80,"mem"
"young,nick",200,78,"was"
"peterson,morris",220,79,"nor"
"buckner,greg",205,76,"min"
"hughes,larry",185,77,"chi"
"jones,eddie",200,78,"dal"
"bogans,keith",215,77,"orl"
"giricek,gordan",210,78,"pho"
"mobley,cuttino",215,76,"lac"
"parker,anthony",215,78,"tor"
"gordon,ben",200,75,"chi"
"davis,ricky",195,79,"mia"
"bell,raja",210,77,"pho"
"jones,fred",220,74,"nyk"
"gibson,daniel",194,74,"cle"
"jaric,marko",217,79,"min"
"green,willie",201,75,"phi"
"mcgrady,tracy",223,80,"hou"
"carroll,matt",212,78,"cha"
"stevenson,deshaw",210,77,"was"
"vujacic,sasha",200,79,"lal"
"cook,daequan",210,77,"mia"
"house,eddie",175,73,"bos"
"rush,kareem",215,78,"ind"
"finley,michael",225,79,"san"
"crawford,jamal",190,77,"nyk"
"foye,randy",210,76,"min"
